Study_ID,Domain,Specific_Target,Study_Design,Publication_Year,Country,Robot_Type,Robot_Platform,Robot_controler,Controler_model,Autonomy_Level_rbt,Autonomy_Level_img,Navigation_system,Img_Sensor_used,Imaging_Type,Imaging_Sensor_Brand,Imaging_Sensor_Model,Number_of_Sensors,Resolution_px,Resolution_MP,Data_Volume_GB,Labeling_Method,Annotation_Tools,Dataset_Availability,Processing_Techniques,AI_Driven_Technology,Model/Network,Agricultural_Task,F1_score_%,N_eval
STDY_127,Plant,Wheat,Field Trial,2021,Germany,UAV,"Hexa XL, HiSystems GmbH",Nvidia Jetson,AGX Xavier,Semi-autonomous,Fully-autonomous,,RGB camera,RGB camera,Sony,Sony NEX 5N,1,4912 x 3264,16,,manual,,Public,Image Patching,Deep Learning,ResNet-18,Weed mapping,95.4,24623
STDY_140,Plant,Peanut,Field Trial,2022,China,UAV,,,,Semi-autonomous,Fully-autonomous,,RGB camera,RGB camera,DJI,,1,1280 x 1280,2,,manual,LabelImg,Private,Image scaling,Computer Vision,YOLOV5s_t,Peanut seedling detection and counting,92.5,1701
STDY_141,Plant,Rice,Field Trial,2025,China,UAV,DJI Mavic 3 M,DJI flight controller,,Semi-autonomous,Semi-autonomous,GNSS sensor,RGB camera,RGB camera,DJI,Integrated camera,1,5280 x 3956,20.8,,manual,LabelImg,Upon Request,Image registration,Deep Learning,YOLOv8n,Crop phenotyping,93.5,100
STDY_143,Plant,Weeds,Field Trial,2023,Australia,UAV,DJI Matrice 210,,,Semi-autonomous,Fully-autonomous,RTK,Mult. camera,Mult. Camera,MicaSense,RedEdge-M,1,2064 x 1544,3.18,,manual,custom Python script,Public,Image registration,Deep Learning,U-Net,Weed segmentation,88.7,700
STDY_144,Plant,Tree Pits,Field Trial,2025,China,UAV,DJI Mavic 2 PRO,DJI flight controller,,Semi-autonomous,Fully-autonomous,GNSS sensor,RGB camera,RGB camera,Hasselblad camera,L1D-20C,1,5472 x 3648,20,,manual,LabelImg,Private,Image stitching,Deep Learning,YOLOv3,,42.35,416
STDY_147,Plant,Weeds,Field Trial,2024,Spain,UAV,md4-1000 UAV,,,Fully-autonomous,Fully-autonomous,GPS,Visual camera,RGB camera,Sony,Sony alpha 600,1,,24.2,,manual,QGIS,Private,Label projection using GIS coordinates,Deep Learning,ResNet-50,Weed classification,79,4440
STDY_150,Plant,Weeds,Field Trial,2022,France,UAV,"	
Pilgrim UAV",,,Semi-autonomous,Fully-autonomous,,RGB camera,RGB camera,Sony,Sony ILCE-7R,1,,36,,manual,LabelImg,Private,Data augmentation,Vision Transformers,ViT-B16,Crop and weed classification,99.44,19265
STDY_153,Plant,Citrus,Field Trial,2019,USA,UAV,DJI Matrice 600,Pix4D Mapper software,,Semi-autonomous,Fully-autonomous,GPS,Mult. camera,Mult. Camera,MicaSense,RedEdge-M,1,,1.2,,,,Private,Photogrammetry,Deep Learning,YOLOv3,Tree detection,99.8,400
STDY_154,Plant,Maize,Field Trial,2025,China,Hybrid,DJI RoboMaster S1 MK OktoXL,HiSystems GmbH,,Semi-autonomous,Semi-autonomous,RTK,RGB camera,RGB camera,DJI,,2,2560 x 1440,3.7,,manual,,Upon Request,Global Attention Mechanism (GAM),Deep Learning,MSSDCNet (Maize-Stem Segmentation Network for Calculating Stem Diameter and Circumference),Plant phenotyping,94.06,2128
STDY_155,Plant,Sugar beet,Field Trial,2023,Italy,UAV,DJI Inspire 2,DJI flight controller,,Semi-autonomous,Fully-autonomous,GNSS sensor,Mult. camera,Mult. Camera,MicaSense,RedEdge-M,2,,,,manual,,Public,Orthomosaicking,Vision Transformers,Lawin,Weed mapping,85.7,1671
